000   0.0000 0.62411 +0.77873 Greenwich                                       UK
001   0.15   0.629   +0.774   Crowborough [Roberts]                           uk
002   0.62   0.622   +0.781   Rayleigh [Van Looy]                             uk
003   3.90   0.725   +0.687   Montpellier                                     FR
004   1.4625 0.72520 +0.68627 Toulouse                                        FR
005   2.2313 0.65989 +0.74887 Meudon                                          FR
006   2.1258 0.75107 +0.65811 Fabra Observatory, Barcelona                    ES
007   2.3371 0.65947 +0.74922 Paris                                           FR
008   3.0355 0.80172 +0.59578 Algiers-Bouzareah                               DZ
009   7.4417 0.6838  +0.7272  Berne-Uecht                                     CH
010   6.9267 0.72368 +0.68811 Caussols                                        FR
011   8.80   0.680   +0.732   Wetzikon [Locher]                               ch
012   4.358210.633333+0.771306Uccle                                           BE
013   4.4840 0.61481 +0.78604 Leiden                                          NL
014   5.3940 0.72888 +0.68237 Marseilles                                      FR
015   5.1292 0.61576 +0.78529 Utrecht                                         NL
016   5.9893 0.68006 +0.73076 Besancon                                        FR
017   6.8496 0.64193 +0.76431 Hoher List                                      DE
018   6.7612 0.62779 +0.77578 Dusseldorf-Bilk                                 DE
019   6.9575 0.68331 +0.72779 Neuchatel                                       CH
020   7.3004 0.72391 +0.68767 Nice                                            FR
021   8.3855 0.65701 +0.75138 Karlsruhe                                       DE
022   7.7748 0.70790 +0.70409 Pino Torinese                                   IT
023   8.2625 0.64299 +0.76335 Wiesbaden                                       DE
024   8.7216 0.65211 +0.75570 Heidelberg-Konigstuhl                           DE
025   9.1975 0.66019 +0.74865 Stuttgart                                       DE
026   7.4648 0.68489 +0.72640 Berne-Zimmerwald                                CH
027   9.1912 0.70254 +0.70929 Milan                                           IT
028   9.9363 0.64686 +0.76009 Wurzburg                                        DE
029  10.2406 0.59640 +0.80000 Hamburg-Bergedorf                               DE
030  11.2554 0.72350 +0.68806 Arcetri Observatory, Florence                   IT
031  11.1925 0.63905 +0.76672 Sonneberg                                       DE
032  11.5842 0.63161 +0.77272 Jena                                            DE
033  11.7125 0.63089 +0.77334 Karl Schwarzschild Observatory, Tautenburg      DE
034  12.4523 0.74519 +0.66466 Monte Mario Observatory, Rome                   IT
035  12.5779 0.56501 +0.82232 Copenhagen                                      DK
036  12.6514 0.74726 +0.66241 Castel Gandolfo                                 IT
037  13.7333 0.73660 +0.67416 Collurania Observatory, Teramo                  IT
038  13.7704 0.70033 +0.71144 Trieste                                         IT
039  13.1874 0.56485 +0.82243 Lund                                            SE
040  13.7298 0.63019 +0.77387 Lohrmann Institute, Dresden                     DE
041  11.380830.679862+0.731012Innsbruck                                       AT
042  13.0661 0.61169 +0.78847 Potsdam                                         DE
043  11.5286 0.69770 +0.71422 Asiago Astrophysical Observatory, Padua         IT
044  14.2559 0.75738 +0.65082 Capodimonte Observatory, Naples                 IT
045  16.3390 0.66739 +0.74227 Vienna (since 1879)                             AT
046  14.2881 0.65922 +0.74965 Klet Observatory, Ceske Budejovice              CZ
047  16.8782 0.61146 +0.78864 Poznan                                          PL
048  15.840800.641709+0.764432Hradec Kralove                                  CZ
049  17.6067 0.5088  +0.8580  Uppsala-Kvistaberg                              SE
050  18.0582 0.51118 +0.85660 Stockholm (before 1931)                         SE
051  18.4766 0.83055 -0.55508 Cape                                            ZA
052  18.3083 0.51224 +0.85597 Stockholm-Saltsjobaden                          SE
053  18.9642 0.67688 +0.73373 Konkoly Observatory, Budapest (since 1934)      HU
054  11.6654 0.56595 +0.82169 Brorfelde                                       DK
055  19.9596 0.64321 +0.76316 Cracow                                          PL
056  20.2450 0.65501 +0.75346 Skalnate Pleso                                  SK
057  20.5133 0.71074 +0.70116 Belgrade                                        YU
058  20.4957 0.57895 +0.81263 Kaliningrad [Konigsberg]                        RU
059  20.2201 0.65500 +0.75364 Lomnicky Stit                                   SK
060  21.4200 0.61572 +0.78535 Warsaw-Ostrowik                                 PL
061  22.30   0.661   +0.746   Uzhgorod                                        UA
062  22.2293 0.49440 +0.86632 Turku [Abo]                                     FI
063  22.4450 0.49496 +0.86601 Turku-Tuorla                                    FI
064  22.75   0.495   +0.865   Turku-Kevola                                    FI
065  12.63   0.673   +0.739   Traunstein [Bendel]                             de
066  23.7169 0.78932 +0.61195 Athens                                          GR
067  24.0297 0.64632 +0.76058 Lvov University Observatory [Lemberg]           UA
068  24.0142 0.64627 +0.76062 Lvov Polytechnic Institute                      UA
069  24.41   0.549   +0.833   Baldone, near Riga                              LV
070  25.2865 0.57940 +0.81233 Vilnius (before 1939)                           LT
071  24.72   0.748   +0.661   Smolyan                                         BG
072   7.17   0.629   +0.774   Scheuren Observatory [Gussow]                   de
073  26.0967 0.71549 +0.69630 Bucharest                                       RO
074  26.4058 0.87518 -0.48263 Boyden Observatory, Bloemfontein                ZA
075  26.7216 0.52557 +0.84791 Tartu                                           EE
076  27.8768 0.90127 -0.43225 Johannesburg-Hartbeespoort                      ZA
077  28.0292 0.89819 -0.43876 Yale-Columbia Station, Johannesburg             ZA
078  28.0750 0.89824 -0.43868 Johannesburg                                    ZA
