Model,Class,Q,e,i,H6,H8,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25.5
All,SS,0.4,0.7,20,,,,,,,,,1.4142135623731,1.4142135623731,2.82842712474619,2.82842712474619,8.48528137423857,9.89949493661167,15.556349186104,38.1837661840736,125.865007051205,195.144390986094
All,SS,0.4,0.7,25,,,,,,,,,1.4142135623731,1.4142135623731,1.4142135623731,2.82842712474619,11.3137084989848,9.89949493661167,24.0416305603426,83.4386001800126,168.291413922398,318.697348592673
All,SS,0.4,0.7,30,,,,,,,,,1.4142135623731,,2.82842712474619,7.07106781186548,8.48528137423857,21.2132034355964,38.1837661840736,73.539105243401,222.031529292576,361.421268512706
All,SS,0.4,0.7,40,,,,,,1,,,,1,3,8,13,30,72,134,291,579.712572458686
All,SS,0.4,0.7,60,,,,,,,,,0.707106781186548,0.707106781186548,3.53553390593274,6.36396103067893,18.3847763108502,31.8198051533946,71.4177848998413,164.755880016466,380.423448278363,655.869905799415
All,SS,0.4,0.7,90,,,,,,,0.577350269189626,,,,1.15470053837925,1.15470053837925,3.46410161513776,7.50555349946514,16.1658075373095,37.5277674973257,78.5196366097891,156.977705423414
All,SS,0.4,0.7,180,,,,,,,,,,,,,,,,,,
All,SS,0.4,0.9,2,,,,,,,,,,,1.58113883008419,1.58113883008419,3.16227766016838,6.32455532033676,11.0679718105893,31.6227766016838,44.2718872423573,113.607511488751
All,SS,0.4,0.9,5,,,,,,,,,,,3.87298334620742,5.16397779494322,7.74596669241483,33.5658556671309,45.1848057057532,131.681433771052,282.727784273141,491.207129879488
All,SS,0.4,0.9,10,,,,,,,1,,,1,6,9,14,42,104,245,548,960.199979171006
All,SS,0.4,0.9,15,,,,,,,1,,1,1,5,15,29,53,127,272,593,1129.21477142304
All,SS,0.4,0.9,20,,,,,1,,,1,,1,6,13,29,61,131,327,713,1311.29350896993
All,SS,0.4,0.9,25,,,,,,,,1,2,2,5,15,40,59,166,307,688,1300.67905341787
All,SS,0.4,0.9,30,,,,,,,,1,,4,6,9,25,76,144,346,791,1359.46680724466
All,SS,0.4,0.9,40,,,,,,0.707106781186547,,,2.82842712474619,3.53553390593274,12.0208152801713,25.4558441227157,53.0330085889911,99.7020561473032,269.407683632075,579.827560572969,1289.76276888426,2338.84594048717
All,SS,0.4,0.9,60,,,,,,,1,,2,3,8,14,32.5,74,160,383,811.5,1519.5001371065
All,SS,0.4,0.9,90,,,,,,,,0.816496580927726,0.816496580927726,0.408248290463863,1.63299316185545,3.67423461417477,6.94022093788567,17.96292478041,35.9258495608199,78.3836717690617,196.367427713118,369
All,SS,0.4,0.9,180,,,,,,,,,,,,,,,,,,
All,SS,0.4,1.1,2,,,,,,,,,,,,,,,0.790569415042095,3.16227766016838,11.0679718105893,9.03696114115064
All,SS,0.4,1.1,5,,,,,,,,,,,,,1.29099444873581,1.93649167310371,5.80947501931112,19.3649167310371,28.4018778721877,54.2857664995572
